video_id,timestamp,car_id,car_box,plate_box,transcript,confidence
./data/sample.mp4,39,3.0,"[668, 1494, 1394, 2136]","[897, 1912, 1141, 2014]",NA13NRU,0.2704314821644831
./data/sample.mp4,40,3.0,"[667, 1498, 1395, 2140]","[900, 1923, 1133, 2019]",NA13NRU,0.39106894172573337
./data/sample.mp4,41,3.0,"[664, 1502, 1394, 2143]","[888, 1925, 1147, 2033]",NA13NRU,0.28330951392974507
./data/sample.mp4,41,1.0,"[2178, 1248, 2848, 1865]","[2435, 1675, 2616, 1754]",NL51VSU,0.1931539130932529
./data/sample.mp4,42,1.0,"[2174, 1250, 2841, 1869]","[2434, 1679, 2620, 1762]",NV51VSU,0.1832754983771413
./data/sample.mp4,42,3.0,"[660, 1506, 1393, 2147]","[882, 1927, 1152, 2039]",NA13NRU,0.3648007541645029
./data/sample.mp4,43,1.0,"[2173, 1250, 2838, 1872]","[2434, 1679, 2620, 1762]",NV51VSU,0.1832754983771413
./data/sample.mp4,43,3.0,"[659, 1508, 1392, 2148]","[882, 1927, 1152, 2039]",NA13NRU,0.3648007541645029
./data/sample.mp4,44,3.0,"[657, 1511, 1393, 2149]","[877, 1923, 1135, 2037]",NA13MRU,0.5119768746894192
./data/sample.mp4,45,1.0,"[2181, 1253, 2857, 1878]","[2440, 1687, 2616, 1768]",HL51VSU,0.25652553222416596
./data/sample.mp4,45,3.0,"[655, 1513, 1393, 2150]","[895, 1934, 1150, 2043]",NA13NPU,0.22668738020570162
./data/sample.mp4,46,3.0,"[652, 1515, 1391, 2150]","[904, 1940, 1140, 2045]",NA13NRU,0.3599665700416632
./data/sample.mp4,47,3.0,"[649, 1517, 1392, 2150]","[882, 1945, 1147, 2060]",NA13NRU,0.4063693923633769
./data/sample.mp4,48,3.0,"[645, 1520, 1390, 2151]","[871, 1954, 1123, 2065]",NA13NPU,0.2832004451209964
./data/sample.mp4,49,3.0,"[645, 1521, 1390, 2152]","[871, 1954, 1124, 2065]",NA13NRU,0.16815479994804522
./data/sample.mp4,50,3.0,"[643, 1525, 1390, 2153]","[866, 1962, 1132, 2073]",NA13NRU,0.19165735416333496
./data/sample.mp4,51,3.0,"[643, 1528, 1392, 2152]","[871, 1970, 1129, 2073]",NA13NRU,0.4171643897066688
./data/sample.mp4,54,3.0,"[635, 1541, 1387, 2153]","[860, 1977, 1127, 2091]",NA13MPU,0.18615396565418174
./data/sample.mp4,55,3.0,"[634, 1544, 1386, 2153]","[860, 1977, 1127, 2091]",NA13MPU,0.18615396565418174
./data/sample.mp4,56,3.0,"[630, 1547, 1382, 2153]","[873, 1982, 1117, 2092]",NA13NRU,0.3102008767839752
./data/sample.mp4,57,1.0,"[2181, 1287, 2869, 1924]","[2449, 1727, 2629, 1809]",NO51VSU,0.09410768621067385
./data/sample.mp4,58,3.0,"[627, 1557, 1380, 2155]","[862, 1996, 1119, 2105]",MA13NRU,0.4494853525796509
